area,building_height,car_parking,location,num_balconies,num_bath_rooms,num_bed_rooms,price
,,- Cars & Vehicles,"Badda, Dhaka",,,,"1,000"
Area Sq Ft: 375,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 1,No. of Bedrooms: 1,"36,000"
Area Sq Ft: 1780,,- Cars & Vehicles,"Mirpur, Dhaka",Balconies: 2,Bathrooms: 3,No. of Bedrooms: 3,"80,00,000"
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
Area Sq Ft: 1350,,- Cars & Vehicles,"Mirpur, Dhaka",Balconies: 2,Bathrooms: 3,No. of Bedrooms: 3,"15,000"
Area Sq Ft: 1275,Unit per Floor: 2,- Cars & Vehicles,"Badda, Dhaka",Balconies: 2,Bathrooms: 3,No. of Bedrooms: 3,"8,000"
Area Sq Ft: 375,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 1,No. of Bedrooms: 1,"36,000"
Area Sq Ft: 375,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 1,No. of Bedrooms: 1,"36,000"
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
Area Sq Ft: 1100,Unit per Floor: 2,- Cars & Vehicles,"Sutrapur, Dhaka",Balconies: 2,Bathrooms: 2,No. of Bedrooms: 3,"51,00,000"
No. of Bedrooms: 3,Building Height: 105,- Cars & Vehicles,"Sutrapur, Dhaka",Car Parking: no,Balconies: 2,Bathrooms: 2,"5,000"
Area Sq Ft: 1250,Rental Terms: Please contact,- Cars & Vehicles,"Gulshan, Dhaka",Balconies: 1,Bathrooms: 4,No. of Bedrooms: 3,"35,000"
Area Sq Ft: 375,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 1,No. of Bedrooms: 1,"36,000"
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 2,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
,,- Cars & Vehicles,"Dhanmondi, Dhaka",,,,"40,00,000"
Area Sq Ft: 2000,Unit per Floor: 2,- Cars & Vehicles,"Badda, Dhaka",Balconies: 5,Bathrooms: 4,No. of Bedrooms: 4,"9,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"55,000"
,,- Cars & Vehicles,"Gulshan, Dhaka",,,,"4,50,00,000"
,,- Cars & Vehicles,"Gulshan, Dhaka",,,,"74,00,00,000"
,,- Cars & Vehicles,"Paltan, Dhaka",,,,"3,50,000"
Area Sq Ft: 1040,Unit per Floor: 2,- Cars & Vehicles,"Gulshan, Dhaka",Balconies: 2,Bathrooms: 3,No. of Bedrooms: 2,"85,00,000"
,,- Cars & Vehicles,"Badda, Dhaka",,,,100
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
,,- Cars & Vehicles,"Badda, Dhaka",,,,"1,000"
,,- Cars & Vehicles,"Badda, Dhaka",,,,"1,000"
,,- Cars & Vehicles,"Badda, Dhaka",,,,"1,000"
,,- Cars & Vehicles,"Badda, Dhaka",,,,"1,000"
,,- Cars & Vehicles,"Badda, Dhaka",,,,"1,000"
,,- Cars & Vehicles,"Badda, Dhaka",,,,"1,000"
,,- Cars & Vehicles,"Badda, Dhaka",,,,"1,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"55,000"
No. of Bedrooms: 2,,- Cars & Vehicles,"Badda, Dhaka",Carpark: 1,Balconies: 1,Bathrooms: 2,"55,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"55,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"55,000"
Area Sq Ft: 1780,Unit per Floor: 1,- Cars & Vehicles,"Mirpur, Dhaka",Balconies: 2,Bathrooms: 3,No. of Bedrooms: 3,"80,00,000"
Area Sq Ft: 1350,Deposit Amount: 30000,- Cars & Vehicles,"Mirpur, Dhaka",Balconies: 1,Bathrooms: 3,No. of Bedrooms: 3,"15,500"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"55,000"
,,- Cars & Vehicles,"Sylhet, Bangladesh",,,,"4,90,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"55,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"55,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 2,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"55,000"
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,101
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,101
Area Sq Ft: 1537,Unit per Floor: 2,- Cars & Vehicles,"Gulshan, Dhaka",Balconies: 3,Bathrooms: 3,No. of Bedrooms: 3,"8,500"
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,101
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"55,000"
,,- Cars & Vehicles,"Badda, Dhaka",,,,"5,00,000"
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,101
Area Sq Ft: 1500,Deposit Amount: 20000,- Cars & Vehicles,"Mohammadpur, Dhaka",Balconies: 2,Bathrooms: 3,No. of Bedrooms: 3,"20,000"
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,101
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,101
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,101
Area Sq Ft: 375,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 1,No. of Bedrooms: 2,101
,,- Cars & Vehicles,"Dhanmondi, Dhaka",,,,"9,000"
,,- Cars & Vehicles,"Pabna, Bangladesh",,,,"3,80,00,000"
Area Sq Ft: 375,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 1,No. of Bedrooms: 1,101
,,- Cars & Vehicles,"Gulshan, Dhaka",,,,"20,00,000"
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,101
Area Sq Ft: 1567,,- Cars & Vehicles,"Mirpur, Dhaka",Balconies: 3,Bathrooms: 4,No. of Bedrooms: 3,"1,20,00,000"
Area Sq Ft: 1200,Unit per Floor: 2,- Cars & Vehicles,"Badda, Dhaka",Balconies: 2,Bathrooms: 2,No. of Bedrooms: 2,"6,500"
"Area Sq Ft: 1,600",,- Cars & Vehicles,"Mirpur, Dhaka",Balconies: 2,Bathrooms: 3,No. of Bedrooms: 3,"46,000"
Facing: South face,Furnishied: yes,- Cars & Vehicles,"Badda, Dhaka",Bathrooms: 2,No. of Bedrooms: 2,Area Sq Ft: 875,"48,000"
Area Sq Ft: 1700,,- Cars & Vehicles,"Badda, Dhaka",,Furnishied: Yes,Carpark: 1,101
,,- Cars & Vehicles,"Badda, Dhaka",,,,101
,,- Cars & Vehicles,"Badda, Dhaka",,,,101
Area Sq Ft: 1700,,- Cars & Vehicles,"Badda, Dhaka",,Furnishied: yes,Carpark: 1,101
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
Facing: south,Furnishied: yes,- Cars & Vehicles,"Badda, Dhaka",Bathrooms: 2,No. of Bedrooms: 2,Area Sq Ft: 800,"48,000"
Area Sq Ft: 2050,Unit per Floor: 2,- Cars & Vehicles,"Gulshan, Dhaka",Balconies: 4,Bathrooms: 4,No. of Bedrooms: 4,"10,800"
,,- Cars & Vehicles,"Gulshan, Dhaka",,,,"20,00,000"
Area Sq Ft: 800,Unit per Floor: 02,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
,,- Cars & Vehicles,"Demra, Dhaka",,,,"7,00,000"
,,- Cars & Vehicles,"Badda, Dhaka",,,,100
,,- Cars & Vehicles,"Badda, Dhaka",,,,101
Area Sq Ft: 650,,- Cars & Vehicles,"Mirpur, Dhaka",Carpark: 1,Bathrooms: 1,No. of Bedrooms: 1,"9,999"
Facing: south,Furnishied: yes,- Cars & Vehicles,"Badda, Dhaka",Bathrooms: 2,No. of Bedrooms: 2,Area Sq Ft: 800,"48,000"
,,- Cars & Vehicles,"Badda, Dhaka",,,,101
,,- Cars & Vehicles,"Gulshan, Dhaka",,,,"5,00,00,000"
Area Sq Ft: 1350,,- Cars & Vehicles,"Mirpur, Dhaka",Balconies: 1,Bathrooms: 1,No. of Bedrooms: 1,"25,000"
Area Sq Ft: 2000,,- Cars & Vehicles,"Mirpur, Dhaka",Balconies: 3,Bathrooms: 4,No. of Bedrooms: 3,"3,10,00,000"
Area Sq Ft: 1209,Unit per Floor: 4,- Cars & Vehicles,"Mirpur, Dhaka",Balconies: 3,Bathrooms: 3,No. of Bedrooms: 3,"6,000"
,,- Cars & Vehicles,"Khilgaon, Dhaka",,,,"70,00,000"
,,- Cars & Vehicles,"Mirpur, Dhaka",,,,"7,00,00,000"
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
No. of Bedrooms: 4,,- Cars & Vehicles,"Gulshan, Dhaka",Carpark: 2,Balconies: 3,Bathrooms: 4,"90,000"
Installments: 2years,,- Cars & Vehicles,"Badda, Dhaka",Bathrooms: 2,No. of Bedrooms: 2,Area Sq Ft: 1000,101
Balconies: 4,,- Cars & Vehicles,"Dhanmondi, Dhaka",Deposit Amount: Two months advance rent,Furnishied: Unfurnished,Carpark: 1,100
Installments: 2years,,- Cars & Vehicles,"Badda, Dhaka",Bathrooms: 2,No. of Bedrooms: 2,Area Sq Ft: 1000,101
,,- Cars & Vehicles,"Badda, Dhaka",,,,101
Area Sq Ft: 1200,Deposit Amount: 35000,- Cars & Vehicles,"Mirpur, Dhaka",Balconies: 1,Bathrooms: 3,No. of Bedrooms: 3,"18,000"
,,- Cars & Vehicles,"Dhanmondi, Dhaka",,,,"48,000"
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
Installments: n/a,Car Parking: 1,- Cars & Vehicles,"Mirpur, Dhaka",No. of Bedrooms: 3,Area Sq Ft: 1695,Facing: South,"8,000"
Area Sq Ft: 1695,Unit per Floor: 1,- Cars & Vehicles,"Mirpur, Dhaka",Balconies: 3,Bathrooms: 4,No. of Bedrooms: 3,"8,000"
Area Sq Ft: 1695,Unit per Floor: 1,- Cars & Vehicles,"Mirpur, Dhaka",Balconies: 3,Bathrooms: 3,No. of Bedrooms: 3,"8,000"
Bathrooms: 4,,- Cars & Vehicles,"Sylhet, Bangladesh",,,Unit per Floor: 1,"1,35,00,000"
Facing: North,Furnishied: Full furnished,- Cars & Vehicles,"Badda, Dhaka",Bathrooms: 2,No. of Bedrooms: 2,Area Sq Ft: 800,"48,000"
Facing: North,Furnishied: yes,- Cars & Vehicles,"Badda, Dhaka",Bathrooms: 2,No. of Bedrooms: 2,Area Sq Ft: 800,"48,000"
Area Sq Ft: 800,Unit per Floor: 2,- Cars & Vehicles,"Badda, Dhaka",Balconies: 2,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
,,- Cars & Vehicles,"Kotwali, Dhaka",,,,"6,50,00,000"
Area Sq Ft: 1350,Unit per Floor: 2,- Cars & Vehicles,"Mirpur, Dhaka",Balconies: 3,Bathrooms: 4,No. of Bedrooms: 3,"6,500"
No. of Bedrooms: 3,,- Cars & Vehicles,"Gulshan, Dhaka",Carpark: 1,Balconies: 2,Bathrooms: 3,"60,000"
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
Area Sq Ft: 1000,,- Cars & Vehicles,"Mirpur, Dhaka",Balconies: 2,Bathrooms: 2,No. of Bedrooms: 3,"50,000"
,,- Cars & Vehicles,"Badda, Dhaka",,,,101
,,- Cars & Vehicles,"Kola Bagan, Dhaka",,,,"10,000"
Area Sq Ft: 2000,,- Cars & Vehicles,"Mirpur, Dhaka",Balconies: 3,Bathrooms: 4,No. of Bedrooms: 3,"3,10,00,000"
Area Sq Ft: 1350,,- Cars & Vehicles,"Mirpur, Dhaka",Balconies: 1,Bathrooms: 1,No. of Bedrooms: 1,"25,000"
,,- Cars & Vehicles,"Badda, Dhaka",,,,101
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
,,- Cars & Vehicles,"Gazipur , Bangladesh",,,,"20,00,000"
No. of Bedrooms: 2,,- Cars & Vehicles,"Badda, Dhaka",,Car Parking: 1,Bathrooms: 2,101
,,- Cars & Vehicles,"Badda, Dhaka",,,,101
Area Sq Ft: 1040,,- Cars & Vehicles,"Uttara, Dhaka",Balconies: 1,Bathrooms: 3,No. of Bedrooms: 3,"12,500"
,,- Cars & Vehicles,"Badda, Dhaka",,,,101
Area Sq Ft: 800,Unit per Floor: 2,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
,,- Cars & Vehicles,"Uttara, Dhaka",,,,"25,00,000"
Area Sq Ft: 875,Unit per Floor: 2,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"55,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,101
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,101
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,101
Area Sq Ft: 1200,Unit per Floor: 2,- Cars & Vehicles,"Badda, Dhaka",Balconies: 3,Bathrooms: 3,No. of Bedrooms: 3,"7,500"
Area Sq Ft: 375,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 1,No. of Bedrooms: 2,"36,000"
,,- Cars & Vehicles,"Pallabi, Dhaka",,,,"18,00,00,000"
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 1,No. of Bedrooms: 2,"48,000"
Area Sq Ft: 375,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 1,No. of Bedrooms: 2,101
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,101
,,- Cars & Vehicles,"Gulshan, Dhaka",,,,"20,00,000"
,,- Cars & Vehicles,"Gulshan, Dhaka",,,,"80,00,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"55,000"
Area Sq Ft: 375,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 1,No. of Bedrooms: 2,"36,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 1,No. of Bedrooms: 2,"55,000"
Area Sq Ft: 375,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"36,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"55,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"55,000"
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
,,- Cars & Vehicles,"Mirpur, Dhaka",,,,"18,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"55,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"55,000"
,,- Cars & Vehicles,"Khilgaon, Dhaka",,,,"12,000"
Area Sq Ft: 800,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"48,000"
,,- Cars & Vehicles,"Khilgaon, Dhaka",,,,"10,000"
Area Sq Ft: 875,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 2,No. of Bedrooms: 2,"55,000"
Area Sq Ft: 375,,- Cars & Vehicles,"Badda, Dhaka",Balconies: 1,Bathrooms: 1,No. of Bedrooms: 1,"36,000"
